"id";"ma_dinh_danh_code";"parent_code";"name";"jhi_level";"created_by";"created_date";"last_modified_by";"last_modified_date"
34;"000.00.34.H29";"000.00.00.H29";"Ban Quản lý Khu Chế xuất và công nghiệp";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
35;"000.00.35.H29";"000.00.00.H29";"Ban Quản lý Khu Công viên lịch sử - văn hóa - dân tộc";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
36;"000.00.36.H29";"000.00.00.H29";"Đài Tiếng nói nhân dân thành phố";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
37;"000.00.37.H29";"000.00.00.H29";"Đài truyền hình Thành phố";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
38;"000.00.38.H29";"000.00.00.H29";"Liên Minh hợp tác xã";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
39;"000.00.39.H29";"000.00.00.H29";"Lực lượng thanh niên xung phong";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
40;"000.00.40.H29";"000.00.00.H29";"Viện Nghiên cứu và phát triển thành phố";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
41;"000.00.41.H29";"000.00.00.H29";"Ủy ban về người Việt Nam ở nước ngoài";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
42;"000.00.42.H29";"000.00.00.H29";"Trung tâm điều hành chương trình chống ngập nước";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
43;"000.00.43.H29";"000.00.00.H29";"Trung tâm xúc tiến thương mại và đầu tư (ITPC)";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
44;"000.00.44.H29";"000.00.00.H29";"Trường Đại học Sài Gòn";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
45;"000.00.45.H29";"000.00.00.H29";"Trường Đại học Y khoa Phạm Ngọc Thạch";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
46;"000.00.46.H29";"000.00.00.H29";"Ủy ban nhân dân Quận 1 ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
47;"000.00.47.H29";"000.00.00.H29";"Ủy ban nhân dân Quận 2 ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
48;"000.00.48.H29";"000.00.00.H29";"Ủy ban nhân dân Quận 3 ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
49;"000.00.49.H29";"000.00.00.H29";"Ủy ban nhân dân Quận 4 ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
50;"000.00.50.H29";"000.00.00.H29";"Ủy ban nhân dân Quận 5 ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
51;"000.00.51.H29";"000.00.00.H29";"Ủy ban nhân dân Quận 6 ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
52;"000.00.52.H29";"000.00.00.H29";"Ủy ban nhân dân Quận 7 ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
53;"000.00.53.H29";"000.00.00.H29";"Ủy ban nhân dân Quận 8 ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
54;"000.00.54.H29";"000.00.00.H29";"Ủy ban nhân dân Quận 9 ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
55;"000.00.55.H29";"000.00.00.H29";"Ủy ban nhân dân Quận 10 ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
56;"000.00.56.H29";"000.00.00.H29";"Ủy ban nhân dân Quận 11 ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
57;"000.00.57.H29";"000.00.00.H29";"Ủy ban nhân dân Quận 12 ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
58;"000.00.58.H29";"000.00.00.H29";"Ủy ban nhân dân Quận Bình Tân ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
59;"000.00.59.H29";"000.00.00.H29";"Ủy ban nhân dân Quận Bình Thạnh ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
60;"000.00.60.H29";"000.00.00.H29";"Ủy ban nhân dân Quận Gò Vấp ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
61;"000.00.61.H29";"000.00.00.H29";"Ủy ban nhân dân Quận Phú Nhuận ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
62;"000.00.62.H29";"000.00.00.H29";"Ủy ban nhân dân Quận Tân Bình ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
63;"000.00.63.H29";"000.00.00.H29";"Ủy ban nhân dân Quận Tân Phú ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
64;"000.00.64.H29";"000.00.00.H29";"Ủy ban nhân dân Quận Thủ Đức ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
65;"000.00.65.H29";"000.00.00.H29";"Ủy ban nhân dân Huyện Bình Chánh ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
66;"000.00.66.H29";"000.00.00.H29";"Ủy ban nhân dân Huyện Cần Giờ ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
67;"000.00.67.H29";"000.00.00.H29";"Ủy ban nhân dân Huyện Củ Chi ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
68;"000.00.68.H29";"000.00.00.H29";"Ủy ban nhân dân Huyện Hóc Môn ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
69;"000.00.69.H29";"000.00.00.H29";"Ủy ban nhân dân Huyện Nhà Bè ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
